"","Gender","Grade_of_Student","E_Cig_Ever_used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"22512","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22513","M","6th","No",NA,NA,"No","Yes","No","No",NA,"No","No","No","No",NA,NA,"Agree","Never","Never"
"22514","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22515","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Never"
"22516","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No",NA,NA,NA,"Strongly Agree","Sometimes","Never"
"22517","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Rarely","Rarely"
"22518","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Rarely"
"22519","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never",NA
"22520","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Never","Rarely"
"22521","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No",NA,NA,NA,NA,NA,NA
"22522","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,NA,"Never",NA
"22523","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely",NA
"22524","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,NA,NA,NA
"22525","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22526","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22527","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22528","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Never","Never"
"22529","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No",NA,NA,NA,NA,NA,NA
"22530","F","7th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22531","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Rarely"
"22532","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Rarely","Rarely"
"22533","F","7th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Agree","Never","Never"
"22534","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Rarely","I do not use the internet"
"22535","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Rarely","Sometimes"
"22536","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Sometimes",NA
"22537","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Sometimes","Never"
"22538","F","7th","No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22539","F","7th","No",NA,NA,"No","Yes","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Rarely","Sometimes"
"22540","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22541","F","7th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","No",NA,NA,"Strongly Agree","Always",NA
"22542","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Disagree","I do not use the internet","I do not use the internet"
"22543","F","7th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Sometimes"
