"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"104",2022,2,5,2,NA,NA,2,4,4,2,NA,1,4,4,1,NA,NA,2,3,3
"105",2022,1,5,2,NA,NA,2,3,4,1,0,NA,NA,NA,1,NA,NA,4,3,2
"106",2022,1,5,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"107",2022,2,4,2,NA,NA,4,3,4,2,NA,4,4,4,2,NA,NA,2,4,3
"108",2022,1,5,2,NA,NA,2,3,3,2,NA,3,3,3,2,NA,NA,4,5,1
"109",2022,1,4,1,0,6,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,2,2
"110",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,6,1
"111",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"112",2022,2,4,1,0,4,NA,NA,NA,2,NA,3,4,4,1,NA,NA,2,3,4
"113",2022,1,4,1,0,4,NA,NA,NA,2,NA,3,4,4,1,NA,NA,1,3,2
"114",2022,2,6,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,1,4,4
"115",2022,2,6,2,NA,NA,3,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"116",2022,1,6,2,NA,NA,4,3,2,2,NA,4,4,4,1,NA,NA,2,3,3
"117",2022,1,6,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"118",2022,2,6,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,4,2
"119",2022,2,6,2,NA,NA,3,3,3,2,NA,4,4,4,1,NA,NA,2,3,3
"120",2022,1,6,1,1,3,NA,NA,NA,2,NA,4,4,4,2,2,1,2,2,3
"121",2022,2,6,1,0,4,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,2
"122",2022,2,6,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"123",2022,1,6,2,NA,NA,2,3,3,2,NA,2,4,4,3,NA,NA,1,3,3
"124",2022,1,6,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"125",2022,1,6,1,0,4,NA,NA,NA,2,NA,4,4,4,1,NA,NA,1,5,3
"126",2022,2,7,2,NA,NA,2,3,3,2,NA,4,4,4,1,NA,NA,2,3,3
"127",2022,2,4,1,0,4,NA,NA,NA,2,NA,2,3,3,3,NA,NA,2,3,3
"128",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
"129",2022,1,5,2,NA,NA,2,3,3,2,NA,4,4,4,2,NA,NA,1,2,3
"130",2022,1,6,2,NA,NA,3,4,3,2,NA,3,4,3,1,NA,NA,2,4,4
"131",2022,2,5,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,3,NA
"132",2022,1,6,2,NA,NA,4,3,3,2,NA,4,4,4,2,NA,NA,3,4,2
"133",2022,2,7,1,13,2,NA,NA,NA,2,NA,4,4,4,1,2,1,2,2,2
"134",2022,2,7,1,1,3,NA,NA,NA,1,0,NA,NA,NA,2,2,5,1,2,2
"135",2022,1,6,1,0,6,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,2,4,4
"136",2022,1,7,1,30,1,NA,NA,NA,2,NA,4,4,4,1,2,5,2,3,3
"137",2022,2,1,2,NA,NA,3,4,4,2,NA,3,4,4,3,NA,NA,1,4,4
"138",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,NA,NA,NA
"139",2022,2,6,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,4,2
"140",2022,1,6,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"141",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,1,1
"142",2022,1,5,2,NA,NA,3,3,3,2,NA,4,4,4,NA,NA,NA,2,2,2
"143",2022,2,5,2,NA,NA,3,3,3,2,NA,3,4,3,2,NA,NA,2,3,3
"144",2022,1,6,2,NA,NA,2,3,3,2,NA,2,4,3,1,NA,NA,NA,5,NA
"145",2022,1,6,2,NA,NA,3,3,3,2,NA,3,3,3,2,NA,NA,1,1,1
"146",2022,2,7,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"147",2022,1,3,2,NA,NA,3,4,4,2,NA,4,3,3,2,NA,NA,2,2,2
"148",2022,1,2,2,NA,NA,3,3,3,2,NA,4,4,4,2,NA,NA,4,4,3
"149",2022,2,1,2,NA,NA,4,4,3,2,NA,4,4,4,1,NA,NA,2,4,NA
"150",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,NA,NA,NA
"151",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"152",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,4
"153",2022,1,4,2,NA,NA,3,3,3,2,NA,3,4,4,3,NA,NA,2,4,2
"154",2022,2,6,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,4,3
"155",2022,1,7,1,0,6,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,1,4,4
"156",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,2
"157",2022,1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"158",2022,1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"159",2022,1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"160",2022,1,2,2,NA,NA,4,3,4,2,NA,4,3,4,2,NA,NA,2,3,3
"161",2022,1,2,2,NA,NA,3,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"162",2022,2,3,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"163",2022,2,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"164",2022,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"165",2022,2,4,2,NA,NA,3,4,3,2,NA,4,4,4,1,NA,NA,2,5,2
"166",2022,1,4,2,NA,NA,2,3,3,2,NA,4,4,3,1,NA,NA,2,NA,NA
"167",2022,1,4,2,NA,NA,3,3,4,2,NA,2,4,4,1,NA,NA,3,3,2
"168",2022,1,7,2,NA,NA,2,3,3,2,NA,4,4,4,1,NA,NA,1,3,4
"169",2022,2,7,1,29,2,NA,NA,NA,2,NA,3,4,4,1,2,5,2,4,4
"170",2022,2,4,1,0,6,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,NA,3
"171",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,1,4
"172",2022,1,5,1,0,6,NA,NA,NA,2,NA,2,2,3,1,NA,NA,2,6,6
"173",2022,1,4,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,2,3,3
"174",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,4
"175",2022,1,5,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,1,6,4
"176",2022,1,5,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"178",2022,2,6,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"179",2022,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2022,2,7,2,NA,NA,3,4,4,2,NA,4,4,4,2,2,4,3,6,5
"181",2022,1,7,1,0,5,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,2,4,4
"182",2022,1,7,2,NA,NA,4,4,4,1,0,NA,NA,NA,1,NA,NA,2,3,2
"183",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,4
"184",2022,1,4,1,0,4,NA,NA,NA,2,NA,4,4,4,1,2,1,2,2,4
"185",2022,1,2,2,NA,NA,4,3,3,2,NA,4,4,4,1,2,NA,1,3,3
"186",2022,1,3,2,NA,NA,2,3,3,2,NA,2,4,4,1,NA,NA,1,5,5
"187",2022,1,3,2,NA,NA,1,3,4,2,NA,1,4,4,3,NA,NA,2,NA,NA
"188",2022,1,3,2,NA,NA,3,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"189",2022,2,3,2,NA,NA,2,3,3,2,NA,4,4,4,2,NA,NA,2,4,2
"190",2022,1,3,1,30,1,NA,NA,NA,1,0,NA,NA,NA,2,2,1,4,6,6
"191",2022,1,6,1,1,2,NA,NA,NA,2,NA,4,4,4,1,2,5,3,4,4
"192",2022,1,6,2,NA,NA,1,4,3,1,0,NA,NA,NA,1,NA,NA,1,3,2
"193",2022,1,6,2,NA,NA,4,4,4,1,0,NA,NA,NA,2,NA,NA,2,5,4
"194",2022,2,7,2,NA,NA,3,4,4,2,NA,3,4,4,2,NA,NA,2,2,1
"195",2022,2,7,1,0,5,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,2,4,4
"196",2022,1,NA,NA,0,NA,NA,NA,NA,2,NA,3,4,4,1,NA,NA,NA,NA,NA
"197",2022,1,6,2,NA,NA,3,3,3,2,NA,4,4,NA,2,NA,NA,3,2,NA
"198",2022,1,6,2,NA,NA,4,4,4,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA
"199",2022,NA,2,2,NA,NA,2,3,4,2,NA,2,2,4,NA,NA,NA,1,2,2
"200",2022,1,2,2,NA,NA,3,3,4,2,NA,3,NA,3,3,NA,NA,1,3,3
"201",2022,1,5,2,NA,NA,NA,NA,NA,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"202",2022,1,7,1,1,2,NA,NA,NA,1,0,NA,NA,NA,1,2,5,2,3,1
"203",2022,2,1,1,2,3,NA,NA,NA,2,NA,1,4,4,1,1,1,1,3,2
"204",2022,2,1,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,4,3,3
"205",2022,2,1,1,0,4,NA,NA,NA,1,0,NA,NA,NA,3,NA,NA,2,4,3
"206",2022,2,1,2,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2022,2,1,2,NA,NA,2,4,4,2,NA,2,4,4,2,NA,NA,1,4,3
"208",2022,2,1,2,NA,NA,2,4,4,2,NA,3,4,4,3,NA,NA,1,3,3
"209",2022,2,1,2,NA,NA,1,2,3,2,NA,1,2,3,1,NA,NA,1,5,3
"210",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"211",2022,2,1,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,1,5,5
"212",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"213",2022,2,1,2,NA,NA,2,3,3,2,NA,2,3,3,1,NA,NA,2,3,3
"214",2022,2,1,2,NA,NA,4,4,4,2,NA,4,3,3,2,NA,NA,2,3,3
"215",2022,NA,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,2,2
"216",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,3,2,2
"217",2022,2,1,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,1,4,3
"218",2022,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",2022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",2022,2,3,2,NA,NA,2,3,3,2,NA,2,3,3,2,NA,NA,2,2,2
"221",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,3
"222",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"223",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"224",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,4
"225",2022,2,3,2,NA,NA,2,4,3,2,NA,2,4,3,1,NA,NA,2,3,3
"226",2022,2,3,2,NA,NA,1,3,4,2,NA,2,4,4,2,NA,NA,2,4,3
"227",2022,2,3,2,NA,NA,1,2,3,2,NA,4,4,4,1,NA,NA,2,4,4
"228",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"229",2022,2,3,2,NA,NA,1,3,3,2,NA,1,3,3,1,NA,NA,3,4,3
"230",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,3,3,3
"231",2022,2,3,2,NA,NA,3,3,3,2,NA,3,3,3,2,NA,NA,2,2,2
"232",2022,1,3,1,0,6,NA,NA,NA,2,NA,2,4,4,2,NA,NA,2,3,2
"233",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,2
"234",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"235",2022,1,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,6,4
"236",2022,1,3,2,NA,NA,3,3,3,2,NA,4,4,4,3,NA,NA,2,3,3
"237",2022,2,3,2,NA,NA,3,4,3,2,NA,3,4,4,2,NA,NA,2,3,4
"238",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"239",2022,1,3,2,NA,NA,4,3,4,2,NA,4,3,4,1,NA,NA,2,3,3
"240",2022,1,3,1,0,4,NA,NA,NA,2,NA,2,3,2,2,NA,NA,3,3,3
"241",2022,2,3,2,NA,NA,3,4,4,2,NA,3,4,4,2,NA,NA,1,2,2
"242",2022,2,3,2,NA,NA,4,4,4,2,NA,3,4,4,3,NA,NA,1,3,3
"243",2022,1,3,2,NA,NA,3,4,3,2,NA,4,4,4,2,NA,NA,2,2,2
"244",2022,1,6,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"245",2022,2,5,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"246",2022,2,5,1,14,2,NA,NA,NA,2,NA,4,4,4,1,2,4,2,4,3
"247",2022,1,7,1,0,6,NA,NA,NA,2,NA,1,3,3,1,NA,NA,1,4,2
"248",2022,2,5,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"249",2022,1,7,1,30,1,NA,NA,NA,1,3,NA,NA,NA,1,1,5,1,4,3
"250",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"251",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"252",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"253",2022,1,2,2,NA,NA,3,3,4,2,NA,2,3,4,1,NA,NA,2,3,NA
"254",2022,1,3,2,NA,NA,3,3,3,2,NA,3,3,3,2,NA,NA,3,4,2
"255",2022,NA,NA,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,NA,NA
"256",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"257",2022,1,1,2,NA,NA,2,3,4,2,NA,2,4,4,1,NA,NA,1,4,3
"258",2022,2,1,2,NA,NA,2,3,3,2,NA,4,4,3,1,NA,NA,1,3,2
"259",2022,1,1,2,NA,NA,3,3,3,2,NA,3,3,3,1,NA,NA,2,4,5
"260",2022,2,2,1,0,6,NA,NA,NA,2,NA,2,3,3,2,NA,NA,3,3,2
"261",2022,1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,4,3,2
"262",2022,2,5,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,2
"263",2022,2,4,2,NA,NA,4,4,4,2,NA,3,3,3,2,NA,NA,3,5,1
"264",2022,1,4,2,NA,NA,2,3,4,2,NA,4,4,4,1,NA,NA,1,3,2
"265",2022,2,4,2,NA,NA,4,4,4,2,NA,3,4,4,2,NA,NA,2,3,2
