"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8875",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,5,4
"8876",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,4,3
"8877",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8878",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8879",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8880",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8881",1,1,2,NA,NA,3,3,3,2,NA,NA,4,4,4,1,NA,NA,1,6,5
"8882",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,4
"8883",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8884",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,4,4
"8885",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,4
"8886",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8887",2,1,2,NA,NA,3,4,4,2,NA,NA,2,3,4,3,NA,NA,1,4,3
"8888",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,5
"8889",1,2,2,NA,NA,3,3,4,2,NA,NA,4,4,4,1,NA,NA,2,2,3
"8890",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,5,6
"8891",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,2,3,3
"8892",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,5
"8893",2,2,2,NA,NA,3,NA,3,2,NA,NA,4,4,3,1,NA,NA,2,6,3
"8894",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,3,3
"8895",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,2,2
"8896",1,2,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"8897",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,4,4
"8898",2,2,2,NA,NA,2,4,4,2,NA,NA,4,4,4,1,NA,NA,2,6,6
"8899",2,2,2,NA,NA,3,3,3,2,NA,NA,3,4,4,1,NA,NA,3,4,5
"8900",1,2,2,NA,NA,3,4,4,2,NA,NA,4,4,4,3,NA,NA,2,3,4
"8901",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,3
"8902",1,2,2,NA,NA,3,3,3,2,NA,NA,3,3,4,1,NA,NA,3,2,6
"8903",2,2,2,NA,NA,3,3,3,2,NA,NA,3,3,3,1,NA,NA,2,3,4
"8904",1,2,1,5,30,NA,NA,NA,2,NA,NA,3,3,3,2,2,5,4,6,6
"8905",1,2,1,2,3,NA,NA,NA,2,NA,NA,2,3,4,1,1,1,3,4,4
"8906",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,5,4
