"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8646","F","12th","Yes","5","25",NA,NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","Yes","Never","Rarely"
"8647","M","12th","Yes","6","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No","Yes","Yes","Rarely","Rarely"
"8648","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8649","M","12th","Yes","5","2",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","Yes","Yes","No","Sometimes","Most of the time"
"8650","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8651","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8652","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"8653","M","6th","Yes","2","3",NA,NA,NA,"No",NA,NA,"No","Yes","No","Yes","Yes","No","No","Never","Sometimes"
"8654","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Rarely"
"8655","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"8656","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"8657","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8658","F","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8659","M","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","Never","Rarely"
"8660","F","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8661","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8662","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Sometimes"
"8663","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Rarely","Always"
"8664","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8665","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Sometimes"
"8666","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8667","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"8668","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8669","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
