"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"77",2019,"1","4","2","S","S","3","3","4","2","S","S","4","4","4","2","2","S","N","N","5"
"78",2019,"2","4","2","S","S","2","3","3","2","S","S","3","4","4","1","3","S","2","3","3"
"79",2019,"2","4","2","S","S","2","3","3","2","S","S","2","3","3","2","1","S","1","4","3"
"80",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","2","3","3"
"81",2019,"1","4","1","2","1","S","S","S","1","0","5","S","S","S","N","N","N","2","2","2"
"82",2019,"2","4","2","S","S","2","3","4","2","S","S","4","3","4","2","1","S","3","3","3"
"83",2019,"2","4","1","1","0","S","S","S","2","S","S","1","3","3","1","1","S","1","4","4"
"84",2019,"1","4","1","2","0","S","S","S","1","0","6","S","S","S","1","5","S","1","5","5"
"85",2019,"2","4","1","1","6","S","S","S","2","S","S","3","3","3","3","1","5","2","4","4"
"86",2019,"2","4","2","S","S","3","3","3","2","S","S","3","3","3","2","2","S","2","2","4"
"87",2019,"1","4","1","6","30","S","S","S","1","5","1","S","S","S","N","N","5","N","N","N"
"88",2019,"2","4","1","1","0","S","S","S","2","S","S","4","4","4","3","4","S","2","2","3"
"89",2019,"2","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","2","4","4"
"90",2019,"2","4","2","S","S","2","3","3","2","S","S","2","4","4","2","5","S","1","4","4"
"91",2019,"1","4","1","1","0","S","S","S","2","S","S","2","3","4","1","3","S","2","3","3"
"92",2019,"1","4","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","3","3"
"93",2019,"2","4","2","S","S","4","4","4","2","S","S","4","2","4","1","2","S","1","2","5"
"94",2019,"2","5","2","S","S","2","3","3","1","0","5","S","S","S","1","5","S","1","4","3"
"95",2019,"1","5","1","2","0","S","S","S","1","0","6","S","S","S","1","1","S","1","5","3"
"96",2019,"1","5","1","3","25","S","S","S","1","20","E","S","S","S","Z","Z","Z","Z","Z","Z"
"97",2019,"1","5","1","1","0","S","S","S","2","S","S","1","3","4","2","5","S","4","5","2"
"98",2019,"2","5","2","S","S","4","4","4","2","S","S","3","4","4","1","4","S","2","4","3"
"99",2019,"2","5","2","S","S","3","4","4","2","S","S","3","4","4","3","4","S","1","6","5"
"100",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","2","3","S","1","2","3"
"101",2019,"2","5","2","S","S","3","4","4","2","S","S","4","4","4","1","4","S","1","5","3"
"102",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","1","6","S","1","6","4"
"103",2019,"1","5","1","2","0","S","S","S","1","0","7","S","S","S","N","4","N","2","4","4"
"104",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","2","2","S","4","2","2"
"105",2019,"2","5","1","2","0","S","S","S","2","S","S","4","4","4","3","1","S","2","3","3"
"106",2019,"1","8","1","6","2","S","S","S","2","S","S","2","3","4","1","3","1","1","4","4"
"107",2019,"1","5","1","2","1","S","S","S","2","S","S","1","3","3","1","1","1","1","2","4"
"108",2019,"2","5","2","S","S","4","4","4","2","S","S","2","4","4","2","2","S","1","2","3"
"109",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","2","4","4"
"110",2019,"1","5","1","5","0","S","S","S","1","0","6","S","S","S","3","1","5","3","3","1"
"111",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","2","1","S","1","2","2"
"112",2019,"1","5","2","S","S","3","3","3","2","S","S","2","3","3","3","3","S","2","2","3"
"113",2019,"2","5","1","2","2","S","S","S","2","S","S","4","4","4","1","3","5","2","4","4"
"114",2019,"2","5","1","1","0","S","S","S","2","S","S","4","4","4","3","4","S","1","4","2"
"115",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","2","3","S","1","2","5"
"116",2019,"2","5","1","3","30","S","S","S","1","1","2","S","S","S","3","6","1","4","6","6"
"117",2019,"1","5","2","S","S","4","4","4","2","S","S","2","4","4","3","3","S","2","3","2"
"118",2019,"2","5","1","5","30","S","S","S","1","0","5","S","S","S","1","1","5","2","5","4"
"119",2019,"2","5","2","S","S","3","4","4","2","S","S","3","4","4","1","N","S","N","N","N"
"120",2019,"2","4","1","2","1","S","S","S","1","0","5","S","S","S","2","2","1","4","2","2"
"121",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","1","Z","S","2","Z","Z"
"122",2019,"2","5","2","S","S","4","4","4","1","0","7","S","S","S","1","3","S","2","4","4"
"123",2019,"1","5","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","3"
"124",2019,"1","5","1","6","20","S","S","S","2","S","S","4","4","4","1","1","5","1","4","5"
"125",2019,"2","5","2","S","S","2","3","4","2","S","S","2","3","4","2","3","S","1","3","3"
"126",2019,"1","6","2","S","S","4","4","4","1","0","4","S","S","S","1","4","4","2","3","4"
"127",2019,"1","6","1","6","15","S","S","S","1","1","1","S","S","S","3","4","5","1","3","4"
"128",2019,"2","6","2","S","S","4","4","4","1","0","7","S","S","S","1","3","S","2","3","3"
"129",2019,"1","6","1","1","0","S","S","S","1","0","7","S","S","S","1","2","S","1","2","3"
"130",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","2"
"131",2019,"2","6","1","2","5","S","S","S","1","0","4","S","S","S","1","4","2","2","3","5"
"132",2019,"1","6","1","6","0","S","S","S","1","0","7","S","S","S","2","1","S","2","3","1"
"133",2019,"1","6","2","S","S","4","4","4","2","S","S","4","4","4","3","3","S","2","3","3"
"134",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","3","2"
"135",2019,"1","6","1","2","5","S","S","S","2","S","S","3","3","3","1","3","1","2","3","4"
"136",2019,"N","N","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","2","3","4"
"137",2019,"1","6","1","1","0","S","S","S","1","0","5","S","S","S","2","4","S","1","5","3"
