"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14573","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"14574","M","8th","Yes","75","0","S","S","S","No","S","S","No","No","Yes","Yes","4","S","Yes","Rarely","Rarely",NA
"14575","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"14576","M","6th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"14577","F","6th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"14578","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"14579","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Rarely","Never",NA
"14580","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","N","Yes","S","Yes","Sometimes","Sometimes",NA
"14581","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","N","Rarely",NA
"14582","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Never",NA
"14583","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"14584","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Sometimes",NA
