"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"1","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"2","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"3","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"4","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"5","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","S","Yes","Always","Always",NA
"6","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Never","Never",NA
"7","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Most of the time",NA
"8","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"9","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"10","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"11","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"12","F","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"13","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Rarely",NA
"14","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Rarely",NA
"15","F","9th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Never","Never",NA
"16","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Never","Rarely",NA
"17","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","N","Most of the time",NA
"18","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Sometimes",NA
"19","M","9th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"20","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","Never",NA
"21","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"22","M","9th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"23","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"24","F","9th","Yes","75","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","Yes","Yes","Sometimes","Rarely",NA
"25","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"26","M","12th","Yes","75","Last Month","S","S","S","Yes","3","E","S","S","S","No","No","N","Yes","Never","Never",NA
"27","M","12th","No","S","S","Yes","Yes","Yes","Yes","1","Last 7 Days","S","S","S","Yes","3","Yes","Yes","Never","Rarely",NA
"28","F","10th","Yes","1","Today","S","S","S","Yes","1","E","S","S","S","No","Yes","N","No","Never","Never",NA
"29","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"30","F","10th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"31","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"32","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Never",NA
"33","M","12th","Yes","35","15","S","S","S","Yes","1","Last 7 Days","S","S","S","Yes","4","No","Yes","Sometimes","Sometimes",NA
"34","M","10th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","5","S","Yes","Sometimes","Rarely",NA
"35","F","12th","No","S","S","Yes","Yes","Yes","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"36","M","11th","Yes","35","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","3","S","No","Sometimes","Sometimes",NA
"37","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"38","M","11th","Yes","1","0","S","S","S","Yes","0","Last Year","S","S","S","No","3","Yes","Yes","Rarely","Rarely",NA
"39","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Never",NA
"40","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","No","Rarely","Never",NA
"41","M","11th","Yes","35","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","No","S","Yes","Never","Rarely",NA
"42","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","5","S","Yes","Sometimes","Rarely",NA
"43","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Never","Rarely",NA
"44","F","11th","Yes","75","0","S","S","S","No","S","S","Yes","No","No","No","3","S","Yes","Rarely","Rarely",NA
"45","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Most of the time","Rarely",NA
"46","M","11th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Never","Never",NA
"47","F","11th","Yes","75","0","S","S","S","Yes","0","Last Year","S","S","S","No","5","Yes","Yes","Sometimes","Never",NA
"48","M","11th","No","S","S","No","No","No","Yes","3","E","S","S","S","N","N","Yes","N","N","N",NA
"49","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","S","Yes","Always","Always",NA
"50","F","11th","Yes","75","Today","S","S","S","Yes","1","Last 7 Days","S","S","S","No","4","Yes","Yes","Never","Sometimes",NA
"51","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Most of the time",NA
"52","M","11th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Rarely","Never",NA
"53","M","12th","No","S","S","Yes","No","Yes","No","S","S","No","No","No","Not sure","3","S","Yes","Rarely","Rarely",NA
"54","F","12th","Yes","1","Today","S","S","S","No","S","S","Yes","No","No","No","3","No","No","Sometimes","Most of the time",NA
"55","F","12th","Yes","35","10","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","3","No","Yes","Never","Never",NA
"56","F","12th","Yes","75","0","S","S","S","Yes","0","Last Year","S","S","S","No","No","S","No","Rarely","Never",NA
"57","M","12th","Yes","1","0","S","S","S","No","S","S","No","No","No","No","No","S","Yes","Rarely","Sometimes",NA
"58","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"59","M","12th","Yes","75","0","S","S","S","Yes","0","Last 6 Months","S","S","S","No","No","S","Yes","Never","I do not use the internet",NA
"60","F","12th","Yes","75","0","S","S","S","No","S","S","No","No","No","No","3","S","Yes","Rarely","Rarely",NA
"61","F","11th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","N","S","Yes","Sometimes","Sometimes",NA
"62","F","12th","Yes","100","0","S","S","S","No","S","S","No","No","Yes","Not sure","6","No","Yes","I do not use the internet","Rarely",NA
"63","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Never","Never",NA
"64","F","12th","No","S","S","Yes","Yes","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"65","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Sometimes","Never",NA
"66","M","12th","Yes","1","0","S","S","S","Yes","0","Last Year","S","S","S","Not sure","4","S","Yes","I do not use the internet","Never",NA
"67","M","12th","Yes","35","Last Year","S","S","S","Yes","2","Last 7 Days","S","S","S","Yes","No","No","Yes","Rarely","Rarely",NA
"68","F","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","S","Yes","Always","Always",NA
"69","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Never",NA
"70","M","12th","Yes","1","Today","S","S","S","No","S","S","Yes","No","No","Yes","3","Yes","No","Sometimes","Never",NA
"71","F","12th","Yes","1","9","S","S","S","Yes","2","Today","S","S","S","No","4","No","Yes","Rarely","Never",NA
"72","F","9th","Yes","75","Last Month","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Not sure","4","N","Yes","Sometimes","Sometimes",NA
"73","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"74","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"75","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"76","M","9th","Yes","75","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","No","S","Yes","Never","Never",NA
"77","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","N","N","Most of the time",NA
"78","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"79","F","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","No","Yes","S","Yes","Sometimes","Rarely",NA
"80","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"81","M","9th","Yes","75","Today","S","S","S","Yes","0","Last Year","S","S","S","N","N","N","Yes","Never","Never",NA
"82","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","Yes","S","No","Rarely","Rarely",NA
"83","F","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"84","M","9th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","5","S","Yes","Most of the time","Most of the time",NA
"85","F","9th","Yes","1","1-4 Years Ago","S","S","S","No","S","S","No","No","No","Not sure","Yes","No","Yes","Sometimes","Sometimes",NA
"86","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Sometimes",NA
"87","M","9th","Yes","100","30","S","S","S","Yes","5","Today","S","S","S","N","N","No","N","N","N",NA
"88","F","9th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","4","S","Yes","Never","Rarely",NA
"89","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"90","F","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","No","5","S","Yes","Sometimes","Sometimes",NA
"91","M","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"92","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"93","F","9th","No","S","S","No","No","No","No","S","S","No","Yes","No","Yes","No","S","Yes","Never","Most of the time",NA
"94","F","10th","No","S","S","Yes","No","No","Yes","0","Last Year","S","S","S","Yes","5","S","Yes","Sometimes","Rarely",NA
"95","M","10th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Most of the time","Rarely",NA
"96","M","10th","Yes","15","25","S","S","S","Yes","20","E","S","S","S","Z","Z","Z","Z","Z","Z",NA
"97","M","10th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","No","5","S","No","Most of the time","Never",NA
"98","F","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Rarely",NA
"99","F","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Always","Most of the time",NA
"100","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Never","Rarely",NA
"101","F","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Most of the time","Rarely",NA
"102","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","S","Yes","Always","Sometimes",NA
"103","M","10th","Yes","75","0","S","S","S","Yes","0","5 Years Ago","S","S","S","N","4","N","Yes","Sometimes","Sometimes",NA
"104","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","No","Never","Never",NA
"105","F","10th","Yes","75","0","S","S","S","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"106","M","Unplaced","Yes","100","Last 7 Days","S","S","S","No","S","S","Yes","No","No","Yes","3","Yes","Yes","Sometimes","Sometimes",NA
"107","M","10th","Yes","75","Today","S","S","S","No","S","S","Yes","No","No","Yes","Yes","Yes","Yes","Never","Sometimes",NA
"108","F","10th","No","S","S","No","No","No","No","S","S","Yes","No","No","No","No","S","Yes","Never","Rarely",NA
"109","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"110","M","10th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Not sure","Yes","No","No","Rarely","I do not use the internet",NA
"111","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"112","M","10th","No","S","S","No","No","No","No","S","S","Yes","No","No","Not sure","3","S","Yes","Never","Rarely",NA
"113","F","10th","Yes","75","Last 7 Days","S","S","S","No","S","S","No","No","No","Yes","3","No","Yes","Sometimes","Sometimes",NA
"114","F","10th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","4","S","Yes","Sometimes","Never",NA
"115","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Never","Most of the time",NA
"116","F","10th","Yes","15","30","S","S","S","Yes","1","Last 7 Days","S","S","S","Not sure","6","Yes","No","Always","Always",NA
"117","M","10th","No","S","S","No","No","No","No","S","S","Yes","No","No","Not sure","3","S","Yes","Rarely","Never",NA
"118","F","10th","Yes","75","30","S","S","S","Yes","0","Last Year","S","S","S","Yes","Yes","No","Yes","Most of the time","Sometimes",NA
"119","F","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","N","S","N","N","N",NA
"120","F","9th","Yes","75","Today","S","S","S","Yes","0","Last Year","S","S","S","No","No","Yes","No","Never","Never",NA
"121","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Z","S","Yes","Z","Z",NA
"122","F","10th","No","S","S","No","No","No","Yes","0","5 Years Ago","S","S","S","Yes","3","S","Yes","Sometimes","Sometimes",NA
"123","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"124","M","10th","Yes","100","20","S","S","S","No","S","S","No","No","No","Yes","Yes","No","Yes","Sometimes","Most of the time",NA
"125","F","10th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","No","3","S","Yes","Rarely","Rarely",NA
"126","M","11th","No","S","S","No","No","No","Yes","0","Last 6 Months","S","S","S","Yes","4","Yes","Yes","Rarely","Sometimes",NA
"127","M","11th","Yes","100","15","S","S","S","Yes","1","Today","S","S","S","Not sure","4","No","Yes","Rarely","Sometimes",NA
"128","F","11th","No","S","S","No","No","No","Yes","0","5 Years Ago","S","S","S","Yes","3","S","Yes","Rarely","Rarely",NA
"129","M","11th","Yes","1","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","No","S","Yes","Never","Rarely",NA
"130","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Never",NA
"131","F","11th","Yes","75","Last Year","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","4","Yes","Yes","Rarely","Most of the time",NA
"132","M","11th","Yes","100","0","S","S","S","Yes","0","5 Years Ago","S","S","S","No","Yes","S","Yes","Rarely","I do not use the internet",NA
"133","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Rarely","Rarely",NA
"134","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Never",NA
"135","M","11th","Yes","75","Last Year","S","S","S","No","S","S","No","No","No","Yes","3","Yes","Yes","Rarely","Sometimes",NA
"136","N","N","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"137","M","11th","Yes","1","0","S","S","S","Yes","0","Last Year","S","S","S","No","4","S","Yes","Most of the time","Rarely",NA
"138","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","I do not use the internet",NA
"139","M","11th","No","S","S","No","No","No","Yes","1","3","S","S","S","Yes","4","Yes","Yes","Sometimes","Always","Last Month"
"140","F","11th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Never","Never",NA
"141","F","11th","Yes","75","0","S","S","S","No","S","S","Yes","Yes","No","Yes","Yes","S","Yes","Never","Never",NA
"142","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Sometimes",NA
"143","M","11th","Yes","15","Last Month","S","S","S","No","S","S","Yes","No","No","Yes","No","No","No","Never","Rarely",NA
"144","F","11th","No","S","S","No","No","No","Yes","0","N","S","S","S","Yes","Yes","Yes","Yes","Never","Rarely",NA
"145","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","5","S","Yes","Rarely","Always",NA
"146","M","11th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","No","N","Yes","Never","Never",NA
"147","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Never",NA
"148","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"149","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","Never",NA
"150","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Most of the time","Sometimes",NA
"151","M","11th","Yes","1","0","S","S","S","No","S","S","Yes","Yes","Yes","Yes","Yes","S","Yes","Rarely","Rarely",NA
"152","M","11th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"153","M","11th","Yes","75","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","3","S","Yes","Sometimes","Rarely",NA
"154","F","11th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"155","F","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Never","Rarely",NA
"156","M","12th","Yes","75","Last 7 Days","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","3","N","Yes","Sometimes","Rarely",NA
"157","M","12th","Yes","1","Today","S","S","S","Yes","1","E","S","S","S","Yes","4","Yes","Yes","Sometimes","Sometimes",NA
"158","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Sometimes","Sometimes",NA
"159","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Never","Rarely",NA
"160","M","12th","Yes","75","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","4","S","Yes","Sometimes","Rarely",NA
"161","M","12th","Yes","75","Last 7 Days","S","S","S","Yes","0","Last Year","S","S","S","N","N","N","N","N","N",NA
"162","M","12th","Yes","100","20","S","S","S","Yes","4","3","S","S","S","No","No","Yes","No","Never","Never","Last Month"
"163","F","12th","Yes","15","Last Month","S","S","S","Yes","20","Last 7 Days","S","S","S","No","Yes","No","Yes","Never","Sometimes",NA
"164","M","12th","Yes","15","0","S","S","S","Yes","0","Last 6 Months","S","S","S","No","Yes","S","Yes","Rarely","Rarely",NA
"165","F","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","No","Never","Sometimes",NA
"166","F","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","N","S","Yes","Rarely","Never",NA
"167","M","12th","No","S","S","Yes","Yes","Yes","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"168","F","12th","Yes","1","0","S","S","S","Yes","5","Last 7 Days","S","S","S","Yes","3","Yes","Yes","Sometimes","Never",NA
"169","M","12th","Yes","35","Last 6 Months","S","S","S","Yes","0","Last Year","S","S","S","Yes","No","Yes","Yes","Rarely","Never",NA
"170","F","12th","Yes","75","10","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","Yes","Yes","Sometimes","Sometimes",NA
"171","F","12th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","Yes","S","No","Sometimes","Rarely",NA
"172","F","12th","No","S","S","Yes","Yes","No","No","S","S","Yes","Yes","No","Yes","No","S","Yes","Sometimes","Rarely",NA
"173","M","12th","No","S","S","No","No","No","Yes","0","5 Years Ago","S","S","S","No","Yes","S","Yes","Never","Rarely",NA
"174","M","12th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Most of the time",NA
"175","F","12th","Yes","1","Today","S","S","S","No","S","S","No","No","No","Yes","Yes","Yes","Yes","Sometimes","Sometimes",NA
"176","F","12th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","3","S","Yes","Most of the time","Rarely",NA
"177","F","12th","Yes","15","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","3","No","Yes","Sometimes","Sometimes",NA
"178","F","12th","Yes","75","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"179","F","12th","Yes","100","25","S","S","S","Yes","0","Last Year","S","S","S","Yes","Yes","No","Yes","Never","Never",NA
"180","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"181","F","6th","Yes","15","22","S","S","S","No","S","S","Yes","Yes","Yes","No","No","Yes","No","Never","Never",NA
"182","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"183","F","6th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"184","F","6th","Yes","75","Last Year","S","S","S","No","S","S","Yes","No","No","Yes","Yes","Yes","Yes","Sometimes","Most of the time",NA
"185","F","6th","Yes","1","Today","S","S","S","No","S","S","Yes","No","No","Yes","Yes","Yes","No","Sometimes","Sometimes",NA
"186","F","6th","Yes","1","Today","S","S","S","No","S","S","Yes","No","No","Yes","3","N","Yes","Most of the time","Most of the time",NA
"187","F","6th","Yes","35","20","S","S","S","No","S","S","Yes","No","No","No","No","No","No","I do not use the internet","N",NA
"188","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"189","M","6th","No","S","S","N","N","Yes","No","S","S","No","No","No","N","N","Yes","N","N","I do not use the internet",NA
"190","M","6th","Yes","75","20","S","S","S","Yes","20","Last 7 Days","S","S","S","No","5","No","No","Rarely","Never",NA
"191","M","7th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","Yes","S","Yes","Rarely","Rarely",NA
"192","F","7th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Rarely",NA
"193","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Never","Never",NA
"194","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"195","F","7th","No","S","S","No","No","No","No","S","S","Yes","N","No","Not sure","5","S","Yes","Rarely","Most of the time",NA
"196","M","7th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"197","F","7th","No","S","S","Yes","Yes","No","Yes","0","Last 6 Months","S","S","S","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"198","M","7th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","No","Rarely","Never",NA
"199","F","7th","Yes","75","Last 6 Months","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","3","Yes","Yes","Rarely","Rarely",NA
"200","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"201","F","8th","Yes","35","Last Year","S","S","S","No","S","S","Yes","No","No","Yes","4","Yes","No","Rarely","Sometimes",NA
"202","M","8th","Yes","35","10","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","5","No","No","Most of the time","Most of the time",NA
"203","M","8th","Yes","1","0","S","S","S","No","S","S","Yes","Yes","Yes","Yes","4","S","Yes","Sometimes","Sometimes",NA
"204","M","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Sometimes","Sometimes",NA
"205","F","8th","Yes","75","0","S","S","S","Yes","0","Last Year","S","S","S","Yes","4","S","Yes","Never","Sometimes",NA
"206","M","8th","No","S","S","Yes","Yes","No","No","S","S","No","No","No","No","5","S","Yes","Sometimes","Sometimes",NA
"207","F","8th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","4","S","No","Sometimes","Most of the time",NA
"208","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"209","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"210","F","8th","Yes","1","0","S","S","S","No","S","S","Yes","Yes","Yes","Yes","3","S","No","Never","Rarely",NA
"211","M","8th","Yes","1","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","Yes","No","Yes","Sometimes","Rarely",NA
"212","M","8th","Yes","100","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","Yes","S","Yes","Rarely","Sometimes",NA
"213","F","8th","Yes","75","10","S","S","S","No","S","S","Yes","Yes","Yes","Yes","3","Yes","Yes","Most of the time","Sometimes",NA
"214","M","8th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Sometimes","I do not use the internet",NA
"215","M","8th","Yes","1","Today","S","S","S","Yes","0","Last Year","S","S","S","Yes","N","Yes","N","Rarely","Rarely",NA
"216","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Sometimes","Sometimes",NA
"217","F","6th","Yes","75","0","S","S","S","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"218","M","6th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"219","M","6th","N","N","N","S","S","S","N","N","S","S","S","S","No","Yes","S","Yes","Always","I do not use the internet",NA
"220","M","6th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Always","Most of the time",NA
"221","F","6th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","4","S","Yes","Most of the time","Most of the time",NA
"222","M","6th","No","S","S","No","No","No","Yes","0","Last Year","S","S","S","Yes","4","S","No","Never","Most of the time",NA
"223","F","6th","Yes","15","Last Month","S","S","S","No","S","S","No","No","No","Yes","Yes","Yes","Yes","Sometimes","Sometimes",NA
"224","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"225","M","6th","No","S","S","No","N","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
