"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18712",2018,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","","No","1","Yes","Always","Always"
"18713",2018,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Most of the time","Sometimes"
"18714",2018,"F","11th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"18715",2018,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Rarely"
"18716",2018,"F","11th","Yes","15","Last 7 Days","Yes","Yes","Yes","Yes","1","5 Years Ago","No","No","No","No","No","1","Yes","Sometimes","Rarely"
"18717",2018,"F","11th","No","1","Today","Yes","No","Yes","No","1","Today","Yes","No","Yes","Yes","No","1","Yes","Most of the time","Rarely"
"18718",2018,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Rarely","Sometimes"
"18719",2018,"M","11th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Rarely"
"18720",2018,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","6","Yes","Never","Never"
"18721",2018,"F","12th","No","1","Today","No","No","No","","1","","No","No","No","","No","1","Yes","Never","Sometimes"
"18722",2018,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Always","Rarely"
"18723",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Rarely"
"18724",2018,"F","10th","Yes","100","Last 6 Months","Yes","Yes","Yes","Yes","1","Last Year","Yes","Yes","Yes","","","","","",""
"18725",2018,"F","10th","No","1","Today","Yes","Yes","No","No","1","Today","No","Yes","No","Yes","No","1","","","Always"
"18726",2018,"M","10th","Yes","75","Today","Yes","No","Yes","Yes","1","Last Year","Yes","No","No","","Yes","","","",""
"18727",2018,"M","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","","Never","Never"
"18728",2018,"F","12th","Yes","75","Today","Yes","Yes","Yes","No","1","Today","Yes","Yes","No","No","No","1","Yes","Rarely","Sometimes"
