"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Any_Tobacco_Craving","E_Cig_Promotions_Internet"
"100",2016,"F","7th","No","1","Today","No","No","","No","1","Today","No","No","No","Sometimes"
"101",2016,"M","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"102",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No",""
"103",2016,"M","7th","Yes","75","Today","No","Yes","No","No","1","Today","No","No","No","Rarely"
"104",2016,"F","7th","Yes","15","Last 7 Days","","Yes","Yes","Yes","2","Today","No","No","Yes","Most of the time"
"105",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"106",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"107",2016,"F","7th","No","1","Today","Yes","No","Yes","No","1","Today","No","No","No","Sometimes"
"108",2016,"M","7th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Rarely"
"109",2016,"F","7th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"110",2016,"F","7th","No","1","Today","No","Yes","No","No","1","Today","No","Yes","No","Never"
"111",2016,"F","7th","Yes","1","Today","Yes","Yes","No","Yes","2","Today","Yes","Yes","Yes","Most of the time"
"112",2016,"F","6th","No","1","Today","Yes","","No","No","1","Today","No","No","No",""
"113",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"114",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"115",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"116",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Most of the time"
"117",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Most of the time"
"118",2016,"M","6th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"119",2016,"F","6th","Yes","75","Today","Yes","Yes","No","No","1","Today","Yes","No","No",""
"120",2016,"F","6th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"121",2016,"M","6th","","","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"122",2016,"M","6th","No","75","Last Month","","No","","No","5","","","Yes","No","Never"
"123",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"124",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"125",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"126",2016,"M","6th","Yes","15","Last 7 Days","Yes","No","Yes","Yes","6","Last 7 Days","Yes","No","",""
"127",2016,"F","6th","No","1","Today","No","","No","No","1","Today","No","No","No","Sometimes"
"128",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"129",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"130",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"131",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","I do not use the internet"
