"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"16183",2,1,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,2,3,5
"16184",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"16185",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"16186",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,5,3
"16187",2,1,2,NA,NA,4,4,4,2,NA,4,3,4,2,NA,NA,1,2,2
"16188",1,1,2,NA,NA,NA,4,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16189",1,1,2,NA,NA,2,4,4,2,NA,2,3,4,2,NA,NA,1,3,3
"16190",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16191",1,1,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,2,NA,NA
"16192",1,1,1,0,5,NA,NA,NA,2,NA,1,2,2,1,NA,NA,1,3,2
"16193",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"16194",1,1,2,NA,NA,4,4,3,2,NA,4,4,4,1,NA,NA,2,3,2
"16195",2,1,2,NA,NA,3,3,3,2,NA,4,4,4,2,NA,NA,3,3,2
"16196",2,1,2,NA,NA,3,4,4,2,NA,3,4,4,3,NA,NA,2,3,4
"16197",2,1,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"16198",2,1,2,NA,NA,4,3,4,2,NA,4,4,4,2,NA,NA,1,4,4
"16199",2,1,2,NA,NA,3,3,3,2,NA,3,3,4,1,NA,NA,2,3,2
"16200",2,2,1,0,4,NA,NA,NA,2,NA,4,4,4,2,NA,NA,1,4,3
"16201",2,2,2,NA,NA,4,4,4,2,NA,3,4,4,1,NA,NA,2,4,3
"16202",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,3
"16203",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,3
"16204",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16205",1,2,2,NA,NA,3,3,3,2,NA,4,4,3,1,NA,NA,2,4,3
"16206",1,2,2,NA,NA,4,3,4,2,NA,3,4,4,1,NA,NA,1,4,3
"16207",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,3
"16208",2,2,2,NA,NA,3,3,4,2,NA,3,4,4,1,NA,NA,2,3,3
"16209",1,2,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,2,4,3
"16210",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"16211",2,2,2,NA,NA,4,4,4,2,NA,3,4,4,3,NA,NA,1,3,2
"16212",2,2,2,NA,NA,3,3,4,2,NA,4,4,4,2,NA,NA,1,5,3
"16213",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,5,4
"16214",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,4,5
"16215",2,2,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,2,2,3
"16216",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,4
"16217",1,2,2,NA,NA,3,3,3,1,1,NA,NA,NA,2,2,1,2,3,2
"16218",1,2,2,NA,NA,3,3,3,2,NA,4,4,4,1,NA,NA,3,4,3
"16219",2,2,2,NA,NA,3,3,3,2,NA,3,3,3,3,NA,NA,2,4,4
"16220",2,2,2,NA,NA,2,3,3,2,NA,2,3,3,1,NA,NA,3,4,4
"16221",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16222",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16223",2,2,2,NA,NA,1,1,2,2,NA,4,4,4,1,NA,NA,2,4,3
"16224",2,2,2,NA,NA,1,1,2,2,NA,4,3,3,2,NA,NA,2,4,5
"16225",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"16226",1,2,2,NA,NA,3,4,3,2,NA,3,4,4,1,NA,NA,2,3,3
"16227",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,4,4
